State,Stay at home/ shelter in place
Alabama,4/4/20
Alaska,3/28/20
Arizona,3/31/20
Arkansas,0
California,3/19/20
Colorado,3/26/20
Connecticut,0
Delaware,3/24/20
District of Columbia,4/1/20
Florida,4/3/20
Georgia,4/3/20
Hawaii,3/25/20
Idaho,3/25/20
Illinois,3/21/20
Indiana,3/25/20
Iowa,0
Kansas,3/30/20
Kentucky,0
Louisiana,3/23/20
Maine,4/1/20
Maryland,3/30/20
Massachusetts,3/24/20
Michigan,3/24/20
Minnesota,3/28/20
Mississippi,4/3/20
Missouri,4/6/20
Montana,3/28/20
Nebraska,0
Nevada,3/31/20
New Hampshire,3/28/20
New Jersey,3/21/20
New Mexico,3/24/20
New York,3/22/20
North Carolina,3/30/20
North Dakota,0
Ohio,3/24/20
Oklahoma,0
Oregon,3/23/20
Pennsylvania,4/1/20
Rhode Island,3/28/20
South Carolina,4/7/20
South Dakota,0
Tennessee,4/2/20
Texas,0
Utah,0
Vermont,3/25/20
Virginia,3/30/20
Washington,3/23/20
West Virginia,3/24/20
Wisconsin,3/25/20
Wyoming,0