"","Country.Region","Lat","Long","X1.22.20","X1.23.20","X1.24.20","X1.25.20","X1.26.20","X1.27.20","X1.28.20","X1.29.20","X1.30.20","X1.31.20","X2002.1.20","X2002.2.20","X2002.3.20","X2002.4.20","X2002.5.20","X2002.6.20","X2002.7.20","X2002.8.20","X2002.9.20","X2002.10.20","X2002.11.20","X2002.12.20","X2.13.20","X2.14.20","X2.15.20","X2.16.20","X2.17.20","X2.18.20","X2.19.20","X2.20.20","X2.21.20","X2.22.20","X2.23.20","X2.24.20","X2.25.20","X2.26.20","X2.27.20","X2.28.20","X2.29.20","X2003.1.20","X2003.2.20","X2003.3.20","X2003.4.20","X2003.5.20","X2003.6.20","X2003.7.20","X2003.8.20","X2003.9.20","X2003.10.20","X2003.11.20","X2003.12.20","X3.13.20","X3.14.20","X3.15.20","X3.16.20","X3.17.20","X3.18.20","X3.19.20","X3.20.20","X3.21.20","X3.22.20","X3.23.20","X3.24.20","X3.25.20","X3.26.20","X3.27.20","X3.28.20","X3.29.20","X3.30.20","X3.31.20","X2004.1.20","X2004.2.20","X2004.3.20","X2004.4.20","X2004.5.20","X2004.6.20","X2004.7.20","X2004.8.20","X2004.9.20","X2004.10.20","X2004.11.20","X2004.12.20","X4.13.20","X4.14.20","X4.15.20","X4.16.20","X4.17.20","X4.18.20","X4.19.20","X4.20.20","X4.21.20","X4.22.20","X4.23.20","X4.24.20","X4.25.20","X4.26.20","X4.27.20","X4.28.20","X4.29.20","X4.30.20","X2005.1.20","X2005.2.20","X2005.3.20","X2005.4.20","X2005.5.20","X2005.6.20","X2005.7.20","X2005.8.20","X2005.9.20","X2005.10.20","X2005.11.20","X2005.12.20","X5.13.20","X5.14.20","X5.15.20","X5.16.20","X5.17.20","X5.18.20","X5.19.20","X5.20.20","X5.21.20","X5.22.20","X5.23.20","X5.24.20","X5.25.20","X5.26.20","X5.27.20","X5.28.20","X5.29.20","X5.30.20","X5.31.20","X2006.1.20","X2006.2.20","X2006.3.20","X2006.4.20","X2006.5.20","X2006.6.20","X2006.7.20","X2006.8.20","X2006.9.20","X2006.10.20","X2006.11.20","X2006.12.20","X6.13.20","X6.14.20","X6.15.20","X6.16.20","X6.17.20","X6.18.20","X6.19.20","X6.20.20","X6.21.20","X6.22.20","X6.23.20","X6.24.20","X6.25.20","X6.26.20","X6.27.20","X6.28.20","X6.29.20","X6.30.20"
"18","Italy","41.87194","12.56738","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","20","62","155","229","322","453","655","888","1128","1694","2036","2502","3089","3858","4636","5883","7375","9172","10149","12462","15113","17660","21157","24747","27980","31506","35713","41035","47021","53578","59138","63927","69176","74386","80589","86498","92472","97689","101739","105792","110574","115242","119827","124632","128948","132547","135586","139422","143626","147577","152271","156363","159516","162488","165155","168941","172434","175925","178972","181228","183957","187327","189973","192994","195351","197675","199414","201505","203591","205463","207428","209328","210717","211938","213013","214457","215858","217185","218268","219070","219814","221216","222104","223096","223885","224760","225435","225886","226699","227364","228006","228658","229327","229858","230158","230555","231139","231732","232248","232664","232997","233197","233515","233836","234013","234531","234801","234998","235278","235561","235763","236142","236305","236651","236989","237290","237500","237828","238159","238011","238275","238499","238720","238833","239410","239706","239961","240136","240310","240436","240578"
"19","Japan","36.204824","138.252924","2","2","2","2","4","4","7","7","11","15","20","20","20","22","23","23","23","24","24","26","27","28","33","43","54","60","67","79","85","95","112","137","149","160","173","192","218","236","245","259","278","298","333","365","420","466","499","527","585","640","696","733","795","826","843","893","928","968","1022","1059","1104","1144","1217","1314","1416","1530","1728","1907","2001","2255","2535","2818","3154","3525","3876","4110","4485","5020","5614","6250","6951","7473","7773","8277","8835","9398","9958","10548","10914","11258","11641","12037","12469","12854","13186","13405","13576","13860","14076","14284","14558","14861","15061","15229","15354","15455","15553","15640","15755","15824","15861","15948","15998","16096","16148","16202","16226","16259","16287","16321","16362","16385","16410","16451","16472","16502","16528","16598","16673","16716","16751","16787","16837","16867","16911","16958","17000","17039","17060","17111","17146","17187","17250","17293","17369","17439","17484","17530","17588","17658","17725","17780","17820","17879","17963","18055","18162","18254","18366","18476","18615"
"20","Korea, Rep.","35.907757","127.766922","1","1","2","2","3","4","4","4","4","11","12","15","15","16","19","23","24","24","25","27","28","28","28","28","28","29","30","31","31","104","204","433","602","833","977","1261","1766","2337","3150","3736","4335","5186","5621","6088","6593","7041","7314","7478","7513","7755","7869","7979","8086","8162","8236","8320","8413","8565","8652","8799","8961","8961","9037","9137","9241","9332","9478","9583","9661","9786","9887","9976","10062","10156","10237","10284","10331","10384","10423","10450","10480","10512","10537","10564","10591","10613","10635","10653","10661","10674","10683","10694","10708","10718","10728","10738","10752","10761","10765","10774","10780","10793","10801","10804","10806","10810","10822","10840","10874","10909","10936","10962","10991","11018","11037","11050","11065","11078","11110","11122","11142","11165","11190","11206","11225","11265","11344","11402","11441","11468","11503","11541","11590","11629","11668","11719","11776","11814","11852","11902","11947","12003","12051","12085","12121","12155","12198","12257","12306","12373","12421","12438","12484","12535","12563","12602","12653","12715","12757","12800","12850"
"21","Latvia","56.8796","24.6032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","6","8","10","10","17","26","30","34","49","71","86","111","124","139","180","197","221","244","280","305","347","376","398","446","458","493","509","533","542","548","577","589","612","630","651","655","657","666","675","682","712","727","739","748","761","778","784","804","812","818","836","849","858","870","871","879","896","896","900","909","928","930","939","946","950","951","962","970","997","1008","1009","1012","1016","1025","1030","1046","1047","1049","1053","1057","1061","1064","1065","1066","1066","1071","1079","1082","1085","1086","1088","1088","1089","1092","1094","1096","1097","1097","1097","1098","1104","1108","1110","1111","1111","1111","1111","1111","1111","1112","1115","1116","1117","1118"
"22","Lithuania","55.1694","23.8813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","3","3","6","8","12","17","25","27","36","49","83","143","179","209","274","299","358","394","460","491","537","581","649","696","771","811","843","880","912","955","999","1026","1053","1062","1070","1091","1128","1149","1239","1298","1326","1350","1370","1398","1410","1426","1438","1449","1344","1375","1385","1399","1406","1410","1419","1423","1428","1433","1436","1444","1479","1485","1491","1505","1511","1523","1534","1541","1547","1562","1577","1593","1604","1616","1623","1635","1639","1647","1656","1662","1670","1675","1678","1682","1684","1687","1694","1705","1714","1720","1727","1733","1752","1756","1763","1768","1773","1776","1778","1784","1792","1795","1798","1801","1803","1804","1806","1808","1813","1815","1816","1817"
"23","Luxembourg","49.8153","6.1296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","3","3","5","7","19","34","51","59","77","140","203","335","484","670","798","875","1099","1333","1453","1605","1831","1950","1988","2178","2319","2487","2612","2729","2804","2843","2970","3034","3115","3223","3270","3281","3292","3307","3373","3444","3480","3537","3550","3558","3618","3654","3665","3695","3711","3723","3729","3741","3769","3784","3802","3812","3824","3828","3840","3851","3859","3871","3877","3886","3888","3894","3904","3915","3923","3930","3945","3947","3958","3971","3980","3981","3990","3992","3993","3995","4001","4008","4012","4016","4018","4019","4020","4024","4027","4032","4035","4039","4040","4046","4049","4052","4055","4063","4070","4072","4075","4085","4091","4099","4105","4120","4121","4133","4140","4151","4173","4217","4242","4256","4299"
"24","Mexico","23.6345","-102.5528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","5","5","5","5","6","6","7","7","7","8","12","26","41","53","82","93","118","164","203","251","316","367","405","475","585","717","848","993","1094","1215","1378","1510","1688","1890","2143","2439","2785","3181","3441","3844","4219","4661","5014","5399","5847","6297","6875","7497","8261","8772","9501","10544","11633","12872","13842","14677","15529","16752","17799","19224","20739","22088","23471","24905","26025","27634","29616","31522","33460","35022","36327","38324","40186","42595","45032","47144","49219","51633","54346","56594","59567","62527","65856","68620","71105","74560","78023","81400","84627","87512","90664","93435","97326","101238","105680","110026","113619","117103","120102","124301","129184","133974","139196","142690","146837","150264","154863","159793","165455","170485","175202","180545","185122","191410","196847","202951","208392","212802","216852","220657","226089"
"25","Netherlands","12.5211","-69.9683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","10","18","24","38","82","128","188","265","321","382","503","503","806","962","1138","1416","1711","2058","2467","3003","3640","4217","4764","5580","6438","7468","8647","9819","10930","11817","12667","13696","14788","15821","16727","17953","18926","19709","20682","21903","23249","24571","25746","26710","27580","28316","29383","30619","31766","32838","33588","34317","35032","35921","36729","37384","38040","38440","38612","38998","39512","39989","40434","40769","40968","41286","41518","41973","42292","42581","42826","42987","43183","43410","43680","43880","44070","44195","44341","44449","44647","44900","45088","45265","45437","45647","45780","45970","46152","46328","46460","46645","46749","46852","46939","47148","47358","47541","47780","47945","48109","48294","48458","48668","48847","48990","49155","49295","49412","49527","49634","49710","49801","49866","49930","50012","50122","50213","50282","50355","50433","50483"
"26","New Zealand","-40.9006","174.886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","3","3","4","5","5","5","5","5","5","5","6","8","8","12","20","28","39","52","102","102","155","205","283","368","451","514","589","647","708","797","868","950","1039","1106","1160","1210","1239","1283","1312","1330","1349","1366","1386","1401","1409","1422","1431","1440","1445","1451","1456","1461","1470","1469","1472","1474","1476","1479","1485","1487","1487","1486","1488","1489","1490","1492","1494","1497","1497","1497","1497","1498","1498","1499","1499","1499","1503","1503","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1504","1506","1506","1507","1507","1509","1511","1513","1515","1516","1519","1520","1522","1526","1528","1528","1528"
"27","Norway","60.472","8.4689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","15","19","25","32","56","87","108","147","176","205","400","598","702","996","1090","1221","1333","1463","1550","1746","1914","2118","2385","2621","2863","3084","3369","3755","4015","4284","4445","4641","4863","5147","5370","5550","5687","5865","6086","6086","6211","6314","6409","6525","6603","6623","6740","6896","6937","7036","7078","7156","7191","7338","7401","7463","7499","7527","7599","7660","7710","7738","7783","7809","7847","7904","7955","7996","8034","8070","8099","8105","8132","8157","8175","8196","8219","8237","8249","8257","8267","8281","8309","8332","8346","8352","8364","8383","8401","8411","8422","8437","8440","8446","8455","8477","8504","8522","8531","8547","8561","8576","8594","8608","8620","8628","8631","8647","8660","8692","8708","8726","8742","8745","8751","8772","8788","8788","8832","8846","8855","8862","8879"
"28","Poland","51.9194","19.1451","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","11","16","22","31","49","68","103","119","177","238","251","355","425","536","634","749","901","1051","1221","1389","1638","1862","2055","2311","2554","2946","3383","3627","4102","4413","4848","5205","5575","5955","6356","6674","6934","7202","7582","7918","8379","8742","9287","9593","9856","10169","10511","10892","11273","11617","11902","12218","12640","12877","13105","13375","13693","14006","14431","14740","15047","15366","15651","15996","16326","16921","17204","17615","18016","18257","18529","18885","19268","19739","20143","20619","20931","21326","21631","22074","22473","22825","23155","23571","23786","24165","24395","24687","25048","25410","25986","26561","27160","27560","27842","28201","28577","29017","29392","29788","30195","30701","31015","31316","31620","31931","32227","32527","32821","33119","33395","33714","33907","34154","34393"
"29","Portugal","39.3999","-8.2245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","8","13","20","30","30","41","59","59","112","169","245","331","448","448","785","1020","1280","1600","2060","2362","2995","3544","4268","5170","5962","6408","7443","8251","9034","9886","10524","11278","11730","12442","13141","13956","15472","15987","16585","16934","17448","18091","18841","19022","19685","20206","20863","21379","21982","22353","22797","23392","23864","24027","24322","24505","25045","25351","25190","25282","25524","25702","26182","26715","27268","27406","27581","27679","27913","28132","28319","28583","28810","29036","29209","29432","29660","29912","30200","30471","30623","30788","31007","31292","31596","31946","32203","32500","32700","32895","33261","33592","33969","34351","34693","34885","35306","35600","35910","36180","36463","36690","37036","37336","37672","38089","38464","38841","39133","39392","39737","40104","40415","40866","41189","41646","41912","42141"
"30","Slovak Republic","48.669","19.699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","7","10","16","32","44","54","63","72","105","123","137","178","185","186","204","216","226","269","292","314","336","363","400","426","450","471","485","534","581","682","701","715","728","742","769","835","863","977","1049","1089","1161","1173","1199","1244","1325","1360","1373","1379","1381","1384","1391","1396","1403","1407","1408","1413","1421","1429","1445","1455","1455","1457","1457","1465","1469","1477","1480","1493","1494","1495","1495","1496","1502","1503","1504","1509","1511","1513","1515","1520","1520","1521","1521","1522","1522","1525","1526","1526","1528","1528","1530","1531","1533","1541","1542","1545","1548","1552","1552","1561","1562","1576","1586","1587","1588","1589","1607","1630","1643","1657","1664","1665","1667"
"31","Slovenia","46.1512","14.9955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","7","16","16","31","57","89","141","181","219","253","275","275","286","341","383","414","442","480","528","562","632","684","730","756","802","841","897","934","977","997","1021","1059","1091","1124","1160","1188","1205","1212","1220","1248","1268","1304","1317","1330","1335","1344","1353","1366","1373","1388","1396","1402","1408","1418","1429","1434","1439","1439","1439","1445","1448","1449","1450","1454","1457","1460","1461","1463","1464","1465","1465","1466","1466","1467","1468","1468","1468","1468","1468","1469","1469","1471","1473","1473","1473","1473","1473","1475","1477","1477","1479","1484","1485","1485","1486","1488","1488","1490","1492","1495","1496","1499","1503","1511","1513","1519","1520","1521","1534","1541","1547","1558","1572","1581","1585","1600"
"32","Spain","40.463667","-3.74922","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","6","13","15","32","45","84","120","165","222","259","400","500","673","1073","1695","2277","2277","5232","6391","7798","9942","11748","13910","17963","20410","25374","28768","35136","39885","49515","57786","65719","73235","80110","87956","95923","104118","112065","119199","126168","131646","136675","141942","148220","153222","158273","163027","166831","170099","172541","177644","184948","190839","191726","198674","200210","204178","208389","213024","202990","205905","207634","209465","210773","212917","213435","215216","216582","217466","218011","219329","220325","221447","222857","223578","224350","227436","228030","228691","229540","230183","230698","230698","231606","232037","232555","233037","234824","235290","235772","235400","236259","236259","237906","238564","239228","239479","239638","239932","240326","240660","240978","241310","241550","241717","241966","242280","242707","243209","243605","243928","244109","244328","244683","245268","245575","245938","246272","246504","246752","247086","247486","247905","248469","248770","248970","249271"
"33","Sweden","60.128161","18.643501","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","7","7","12","14","15","21","35","94","101","161","203","248","355","500","599","814","961","1022","1103","1190","1279","1439","1639","1763","1934","2046","2286","2526","2840","3069","3447","3700","4028","4435","4947","5568","6131","6443","6830","7206","7693","8419","9141","9685","10151","10483","10948","11445","11927","12540","13216","13822","14385","14777","15322","16004","16755","17567","18177","18640","18926","19621","20302","21092","21520","22082","22317","22721","23216","23918","24623","25265","25921","26322","26670","27272","27909","28582","29207","29677","30143","30377","30799","31523","32172","32809","33188","33459","33843","34440","35088","35727","36476","37113","37542","37814","38589","40803","41883","42939","43887","44730","45133","45924","46814","48288","49684","50931","51614","52383","53323","54562","56043","58076","58591","58848","58932","60837","62324","63890","65137","65137","65137","67667","68451"
"34","Switzerland","46.8182","8.2275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","8","8","18","27","42","56","90","114","214","268","337","374","491","652","652","1139","1359","2200","2200","2700","3028","4075","5294","6575","7474","8795","9877","10897","11811","12928","14076","14829","15922","16605","17768","18827","19606","20505","21100","21657","22253","23280","24051","24551","25107","25415","25688","25936","26336","26732","27078","27404","27740","27944","28063","28268","28496","28677","28894","29061","29164","29264","29407","29586","29705","29817","29905","29981","30009","30060","30126","30207","30251","30305","30344","30380","30413","30463","30514","30572","30587","30597","30618","30658","30694","30707","30725","30736","30746","30761","30776","30796","30828","30845","30862","30871","30874","30893","30913","30936","30956","30965","30972","30988","31011","31044","31063","31094","31117","31131","31154","31187","31200","31235","31243","31292","31310","31332","31376","31428","31486","31555","31617","31652","31714"
"35","Turkey","38.9637","35.2433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","6","18","47","98","192","359","670","1236","1529","1872","2433","3629","5698","7402","9217","10827","13531","15679","18135","20921","23934","27069","30217","34109","38226","42282","47029","52167","56956","61049","65111","69392","74193","78546","82329","86306","90980","95591","98674","101790","104912","107773","110130","112261","114653","117589","120204","122392","124375","126045","127659","129491","131744","133721","135569","137115","138657","139771","141475","143114","144749","146457","148067","149435","150593","151615","152587","153548","154500","155686","156827","157814","158762","159797","160979","162120","163103","163942","164769","165555","166422","167410","168340","169218","170132","171121","172114","173036","174023","175218","176677","178239","179831","181298","182727","184031","185245","186493","187685","188897","190165","191657","193115","194511","195883","197239","198613","199906"
"36","United Kingdom","18.2206","-63.0686","0","0","0","0","0","0","0","0","0","2","2","2","8","8","9","9","9","13","14","14","15","16","17","18","18","18","19","19","20","22","23","23","28","30","34","37","44","56","61","94","134","189","246","295","374","429","483","630","889","1301","1790","2270","2634","3077","3692","4462","5467","6533","7791","9006","10395","12744","15126","17843","20970","24219","27062","29954","34281","38815","43789","48718","53699","57772","61422","66738","72224","77387","82293","86660","90273","93812","98017","102365","107465","112808","117798","122534","126394","131260","136035","141540","146708","151689","155453","158926","163630","168357","173807","178771","183501","186731","189708","193091","196780","200616","204387","207439","209589","211911","215500","218895","222195","224813","227334","229406","231232","233809","236867","239579","242133","244174","245682","247037","248650","250309","252118","253854","255362","256469","257539","258983","260453","261802","263040","264150","264944","265662","266756","267915","269101","270108","271162","272050","272857","273888","274971","275970","276990","277974","278640","279264","280156","281038","281815","282512","283151","283785","284192","284812","285216"
